Date,City,Firma,Branchen,URL
5.-8.4.2018,"Stuttgart, Deutschland",Markt des guten Geschmacks - die Slow Food Messe,"Nahrungsmittel, Genussmittel, Getränke",http://www.expodatabase.de/aussteller/messen/show.php?id=48354&timer=m1521086205&tmid=&currPage=1&maxPerPage=20&params=timer%3Dm1521086205%26amp%3Btimer%3Dm1521086205%26amp%3Bi_cockpitfromdate%3D1.4.2018%26amp%3Bi_cockpittodate%3D31.10.2018%26amp%3Bi_besucherst%3D12727%26amp%3Bi_besucheren%3D350000%26amp%3Bi_besucherselect%3D1%26amp%3Bi_timeselect%3D1%26amp%3Bi_messetyp%255B0%255D%3D1%26amp%3Bi_messetyp%255B1%255D%3D2%26amp%3Bi_messetyp%255B2%255D%3D3%26amp%3Bi_messetyp%255B3%255D%3D4%26amp%3Bi_cpid%3D1598%26amp%3Bi_cockpitkeywo%3DDeutschland%26amp%3Bi_cockpitkeyfindwo%3D2%26amp%3Bi_cockpitkeyfindart%3D1%26amp%3Bsortierid%3D0%26amp%3Btimer%3Dm1521086205%26amp%3BmaxPerPage%3D20%26amp%3BshowPrintlist%3D0%26amp%3BmaxPerPage%3D20
5.-8.4.2018,"Stuttgart, Deutschland",auto motor und sport i-Mobility-Ausstellung für intelligente Mobilität,"Automobile, Kfz-Teile, Verkehr, Zweiräder",http://www.expodatabase.de/aussteller/messen/show.php?id=57029&timer=m1521086205&tmid=&currPage=1&maxPerPage=20&params=timer%3Dm1521086205%26amp%3Btimer%3Dm1521086205%26amp%3Bi_cockpitfromdate%3D1.4.2018%26amp%3Bi_cockpittodate%3D31.10.2018%26amp%3Bi_besucherst%3D12727%26amp%3Bi_besucheren%3D350000%26amp%3Bi_besucherselect%3D1%26amp%3Bi_timeselect%3D1%26amp%3Bi_messetyp%255B0%255D%3D1%26amp%3Bi_messetyp%255B1%255D%3D2%26amp%3Bi_messetyp%255B2%255D%3D3%26amp%3Bi_messetyp%255B3%255D%3D4%26amp%3Bi_cpid%3D1598%26amp%3Bi_cockpitkeywo%3DDeutschland%26amp%3Bi_cockpitkeyfindwo%3D2%26amp%3Bi_cockpitkeyfindart%3D1%26amp%3Bsortierid%3D0%26amp%3Btimer%3Dm1521086205%26amp%3BmaxPerPage%3D20%26amp%3BshowPrintlist%3D0%26amp%3BmaxPerPage%3D20
5.-8.4.2018,"Stuttgart, Deutschland","HAUS | HOLZ | ENERGIE-Meine Baumesse - Vom Keller bis zum Dach, das Beste vom Fach",Baumessen,http://www.expodatabase.de/aussteller/messen/show.php?id=34060&timer=m1521086205&tmid=&currPage=1&maxPerPage=20&params=timer%3Dm1521086205%26amp%3Btimer%3Dm1521086205%26amp%3Bi_cockpitfromdate%3D1.4.2018%26amp%3Bi_cockpittodate%3D31.10.2018%26amp%3Bi_besucherst%3D12727%26amp%3Bi_besucheren%3D350000%26amp%3Bi_besucherselect%3D1%26amp%3Bi_timeselect%3D1%26amp%3Bi_messetyp%255B0%255D%3D1%26amp%3Bi_messetyp%255B1%255D%3D2%26amp%3Bi_messetyp%255B2%255D%3D3%26amp%3Bi_messetyp%255B3%255D%3D4%26amp%3Bi_cpid%3D1598%26amp%3Bi_cockpitkeywo%3DDeutschland%26amp%3Bi_cockpitkeyfindwo%3D2%26amp%3Bi_cockpitkeyfindart%3D1%26amp%3Bsortierid%3D0%26amp%3Btimer%3Dm1521086205%26amp%3BmaxPerPage%3D20%26amp%3BshowPrintlist%3D0%26amp%3BmaxPerPage%3D20
5.-8.4.2018,"Stuttgart, Deutschland","Mineralien, Fossilien, Schmuck","Edelsteine, Mineralien",http://www.expodatabase.de/aussteller/messen/show.php?id=4741&timer=m1521086205&tmid=&currPage=1&maxPerPage=20&params=timer%3Dm1521086205%26amp%3Btimer%3Dm1521086205%26amp%3Bi_cockpitfromdate%3D1.4.2018%26amp%3Bi_cockpittodate%3D31.10.2018%26amp%3Bi_besucherst%3D12727%26amp%3Bi_besucheren%3D350000%26amp%3Bi_besucherselect%3D1%26amp%3Bi_timeselect%3D1%26amp%3Bi_messetyp%255B0%255D%3D1%26amp%3Bi_messetyp%255B1%255D%3D2%26amp%3Bi_messetyp%255B2%255D%3D3%26amp%3Bi_messetyp%255B3%255D%3D4%26amp%3Bi_cpid%3D1598%26amp%3Bi_cockpitkeywo%3DDeutschland%26amp%3Bi_cockpitkeyfindwo%3D2%26amp%3Bi_cockpitkeyfindart%3D1%26amp%3Bsortierid%3D0%26amp%3Btimer%3Dm1521086205%26amp%3BmaxPerPage%3D20%26amp%3BshowPrintlist%3D0%26amp%3BmaxPerPage%3D20
5.-8.4.2018,"Stuttgart, Deutschland",Fair Handeln-Internationale Messe für Fair Trade und global verantwortungsvolles Handeln,"Konsumgütermessen, Umweltschutz",http://www.expodatabase.de/aussteller/messen/show.php?id=53770&timer=m1521086205&tmid=&currPage=1&maxPerPage=20&params=timer%3Dm1521086205%26amp%3Btimer%3Dm1521086205%26amp%3Bi_cockpitfromdate%3D1.4.2018%26amp%3Bi_cockpittodate%3D31.10.2018%26amp%3Bi_besucherst%3D12727%26amp%3Bi_besucheren%3D350000%26amp%3Bi_besucherselect%3D1%26amp%3Bi_timeselect%3D1%26amp%3Bi_messetyp%255B0%255D%3D1%26amp%3Bi_messetyp%255B1%255D%3D2%26amp%3Bi_messetyp%255B2%255D%3D3%26amp%3Bi_messetyp%255B3%255D%3D4%26amp%3Bi_cpid%3D1598%26amp%3Bi_cockpitkeywo%3DDeutschland%26amp%3Bi_cockpitkeyfindwo%3D2%26amp%3Bi_cockpitkeyfindart%3D1%26amp%3Bsortierid%3D0%26amp%3Btimer%3Dm1521086205%26amp%3BmaxPerPage%3D20%26amp%3BshowPrintlist%3D0%26amp%3BmaxPerPage%3D20
10.-13.4.2018,"München, Deutschland",ceramitec-Technologies / Innovations / Materials,"Bauglas, Baukeramik",http://www.expodatabase.de/aussteller/messen/show.php?id=1373&timer=m1521086205&tmid=&currPage=1&maxPerPage=20&params=timer%3Dm1521086205%26amp%3Btimer%3Dm1521086205%26amp%3Bi_cockpitfromdate%3D1.4.2018%26amp%3Bi_cockpittodate%3D31.10.2018%26amp%3Bi_besucherst%3D12727%26amp%3Bi_besucheren%3D350000%26amp%3Bi_besucherselect%3D1%26amp%3Bi_timeselect%3D1%26amp%3Bi_messetyp%255B0%255D%3D1%26amp%3Bi_messetyp%255B1%255D%3D2%26amp%3Bi_messetyp%255B2%255D%3D3%26amp%3Bi_messetyp%255B3%255D%3D4%26amp%3Bi_cpid%3D1598%26amp%3Bi_cockpitkeywo%3DDeutschland%26amp%3Bi_cockpitkeyfindwo%3D2%26amp%3Bi_cockpitkeyfindart%3D1%26amp%3Bsortierid%3D0%26amp%3Btimer%3Dm1521086205%26amp%3BmaxPerPage%3D20%26amp%3BshowPrintlist%3D0%26amp%3BmaxPerPage%3D20
10.-13.4.2018,"Frankfurt/Main, Deutschland","Prolight + Sound-Internationale Fachmesse der Technologien und Services für Entertainment, Integrated Systems und Creation",Veranstaltungsorganisation,http://www.expodatabase.de/aussteller/messen/show.php?id=29353&timer=m1521086205&tmid=&currPage=1&maxPerPage=20&params=timer%3Dm1521086205%26amp%3Btimer%3Dm1521086205%26amp%3Bi_cockpitfromdate%3D1.4.2018%26amp%3Bi_cockpittodate%3D31.10.2018%26amp%3Bi_besucherst%3D12727%26amp%3Bi_besucheren%3D350000%26amp%3Bi_besucherselect%3D1%26amp%3Bi_timeselect%3D1%26amp%3Bi_messetyp%255B0%255D%3D1%26amp%3Bi_messetyp%255B1%255D%3D2%26amp%3Bi_messetyp%255B2%255D%3D3%26amp%3Bi_messetyp%255B3%255D%3D4%26amp%3Bi_cpid%3D1598%26amp%3Bi_cockpitkeywo%3DDeutschland%26amp%3Bi_cockpitkeyfindwo%3D2%26amp%3Bi_cockpitkeyfindart%3D1%26amp%3Bsortierid%3D0%26amp%3Btimer%3Dm1521086205%26amp%3BmaxPerPage%3D20%26amp%3BshowPrintlist%3D0%26amp%3BmaxPerPage%3D20
10.-13.4.2018,"Nürnberg, Deutschland","IFH/Intherm-Sanitär, Heizung, Klima, Erneuerbare Energien","Handwerk, Heizung, Sanitär, Klima",http://www.expodatabase.de/aussteller/messen/show.php?id=628&timer=m1521086205&tmid=&currPage=1&maxPerPage=20&params=timer%3Dm1521086205%26amp%3Btimer%3Dm1521086205%26amp%3Bi_cockpitfromdate%3D1.4.2018%26amp%3Bi_cockpittodate%3D31.10.2018%26amp%3Bi_besucherst%3D12727%26amp%3Bi_besucheren%3D350000%26amp%3Bi_besucherselect%3D1%26amp%3Bi_timeselect%3D1%26amp%3Bi_messetyp%255B0%255D%3D1%26amp%3Bi_messetyp%255B1%255D%3D2%26amp%3Bi_messetyp%255B2%255D%3D3%26amp%3Bi_messetyp%255B3%255D%3D4%26amp%3Bi_cpid%3D1598%26amp%3Bi_cockpitkeywo%3DDeutschland%26amp%3Bi_cockpitkeyfindwo%3D2%26amp%3Bi_cockpitkeyfindart%3D1%26amp%3Bsortierid%3D0%26amp%3Btimer%3Dm1521086205%26amp%3BmaxPerPage%3D20%26amp%3BshowPrintlist%3D0%26amp%3BmaxPerPage%3D20
10.-13.4.2018,"München, Deutschland","analytica-Internationale Leitmesse für Labortechnik, Analytik, Biotechnologie und analytica conference","Biotechnologie, Laborbedarf, Wissenschaft",http://www.expodatabase.de/aussteller/messen/show.php?id=979&timer=m1521086205&tmid=&currPage=1&maxPerPage=20&params=timer%3Dm1521086205%26amp%3Btimer%3Dm1521086205%26amp%3Bi_cockpitfromdate%3D1.4.2018%26amp%3Bi_cockpittodate%3D31.10.2018%26amp%3Bi_besucherst%3D12727%26amp%3Bi_besucheren%3D350000%26amp%3Bi_besucherselect%3D1%26amp%3Bi_timeselect%3D1%26amp%3Bi_messetyp%255B0%255D%3D1%26amp%3Bi_messetyp%255B1%255D%3D2%26amp%3Bi_messetyp%255B2%255D%3D3%26amp%3Bi_messetyp%255B3%255D%3D4%26amp%3Bi_cpid%3D1598%26amp%3Bi_cockpitkeywo%3DDeutschland%26amp%3Bi_cockpitkeyfindwo%3D2%26amp%3Bi_cockpitkeyfindart%3D1%26amp%3Bsortierid%3D0%26amp%3Btimer%3Dm1521086205%26amp%3BmaxPerPage%3D20%26amp%3BshowPrintlist%3D0%26amp%3BmaxPerPage%3D20
11.-14.4.2018,"Frankfurt/Main, Deutschland","Musikmesse-Internationale Fachmesse für Musikinstrumente und Noten, Musikproduktion und -vermarktung",Musik,http://www.expodatabase.de/aussteller/messen/show.php?id=449&timer=m1521086205&tmid=&currPage=1&maxPerPage=20&params=timer%3Dm1521086205%26amp%3Btimer%3Dm1521086205%26amp%3Bi_cockpitfromdate%3D1.4.2018%26amp%3Bi_cockpittodate%3D31.10.2018%26amp%3Bi_besucherst%3D12727%26amp%3Bi_besucheren%3D350000%26amp%3Bi_besucherselect%3D1%26amp%3Bi_timeselect%3D1%26amp%3Bi_messetyp%255B0%255D%3D1%26amp%3Bi_messetyp%255B1%255D%3D2%26amp%3Bi_messetyp%255B2%255D%3D3%26amp%3Bi_messetyp%255B3%255D%3D4%26amp%3Bi_cpid%3D1598%26amp%3Bi_cockpitkeywo%3DDeutschland%26amp%3Bi_cockpitkeyfindwo%3D2%26amp%3Bi_cockpitkeyfindart%3D1%26amp%3Bsortierid%3D0%26amp%3Btimer%3Dm1521086205%26amp%3BmaxPerPage%3D20%26amp%3BshowPrintlist%3D0%26amp%3BmaxPerPage%3D20
